,0,0
47,run round here like some brand new pussi that bout to get fuck,0
48,these bitch even worst they will send them guy for you,0
49,these hoe like nigga that spend money not talk bout it,0
50,we dont trust these nigga all these bitch,0
51,yall nigga cuf hoe caus yall aint never have bitch,0
52,you dodg bullet 128517; 8220; darealkha all da bitch cut off pregnant or bound to be thank god 128591; 8221;,0
53,young pill chamberlain these bitch love my music,0
54,128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; vandalsavag teanna trump probabl cleaner than most of these twitter hoe but,0
55,128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; 128514; dahomiefuzz gay nigga could not wait to act like bitch tonight,0
56,128514; 128514; 128514; the paradox and ima steal his cat replac it with pitbul 128514; 128514; 128514; 128514; rt 80sbaby4lif the paradox he bitch you should do it,0
57,amp; he is gone alway be hoe,0
58,son of bitch took my tic tac like this movi,0
59,all wanna do is get money and fuck model bitch russel simmon,0
60,2015seniorprob probabl wouldn 8217;t mind school a much if we didn 8217;t have to deal with bitch as teacher retweet,0
61,a7xdemeri am fuck fag they said,0
62,arizzleindacut femal think date pussi is cute now http co vxbjg26gsz how doe doing this stuff make him pussi,0
63,addicted2guy simplyaddictedtoguy http co 1jl4hi8zmf woof woof hot scalli lad,0
64,adorebellaaa have ya ever ask your bitch for other bitch kany voic yes,0
65,adorezoey how gone bring ur side bitch to game where you know ya gf friend at 128553; 128553; 128553; 128553; swear,0
66,allaboutmanfeet http co 3gzupfumev woof woof and hot sole,0
67,allyhaaaaa lemmi eat oreo amp; do these dish one oreo lol,0
68,almightywayn jetsandaswish gook bitch fuck http co pxmga68nc1 mayb you will get better just http co tprevwfq0,0
69,almightywayn fuck red malon man bitch as niggah could you plea use complet sentenc,0
70,arizonasfinest6 why the eggplant emoji doe he say she look like scream lmao,0
71,autoworid hennessey venom gt 128584; http co i8egmnkaj9 that is one sexi bitch,0
72,bossbytchh him seh me pussi wetter then shower curtain ahmesehwet lt;lmao,0
73,bro hen314 eaglesn and everi eagl need to see that pic just post because that bitch just said the most racist shit,0
74,bvsedchink yo fuck skateboard all all some wood push faggot man ball is life http co vbczp6hmt7 amjemiebenn,0
75,babyanimalp babi monkey bathtim http co 7000pwadlf0r awwww this is soooo ador,0
76,baylaagottabodi 128514; 128514; 128514; 128514; ai not shit damn skippi lol,0
77,beeasyjrizzi ever kill ant on the sidewalk and think damn what if that nigga wa on his way to get some pussi no b must gt;30 percent chanc,0
78,beenbasedb kudabrazyy http co luubgl9y5u ring mvp bitch lol,0
79,beenflynsolo ppl talk bad about the ghetto hood but a kid grow up nigga had funnnnnnn,0
80,bestproadvic the fact on tattoo tattoo http co zwnbhpdz8e he is pussi with not tattoo them nippl,0
81,bill215 128175; 128175; 128175; rt nel ayden bitch be want to act like nigga so bad 128553; 128553; 128553; that shit aint cuteeee but nigga act like bitch,0
82,bitchjones92 get worship bitch http co r37cejcjou woof woof,0
83,blackchiquitita wow rt thatmanpalm am lost are those buttcheek pierc http co yn6guyouq6 yeah she is hoe,0
84,blacknerdjad ok si she would rather be broke bitch shrug she will have to tell me how it work for her,0
85,blackman38tid whalelookyher howdydowdy11 queer gaywad,1
86,brokenpiecesmsc itsnotadam faggot read my tweet after dat it wa not even funni lol,0
87,brosconfess this bitch wa so ungrat http co 06e77bgwbx fr lulwhor,0
88,cashandboobi been kidnap yo bitch,0
89,cb baby24 white thunduh alsarabsss he beaner smh you can tell he mexican,1
90,ccobey aydanmccoy happi birthday nig thank yo,0
91,chlldhoodruin when ur teacher tell that have homework http co rkk5vawij1 this bitch need to go,0
92,caelang15 22edham caelang15 that nigga wa eat that hoe lol hell yea lol john paul nigga said john paul http co osipbkpr9h,0
93,canifuckornah what would all lil ugli bald head bitch do if they stop make make up amp; weav,0
94,carelessone92 leaf better win this damn game so can go riot and shit earlychristma you better start loot my nig,0
95,causewereguy go back to school suck more dick than the hoe who attend it,0
96,causewereguy on my way to fuck yo bitch http co j906t5ze2r me a year old,0
97,celeynichol white thunduh how come you never bring me food dont have car retard,0
98,chadmfverbeck if richnow doe not show up with hella tinder hoe im not his friend anymor chill brought like like propl,0
99,chandlerparson how bout them cowboy shutup pussi,0
100,clicquotsuav lmaooooooooooo this nigga krillz nuh care http co aanpsujmyi lt;bitch want like for some depress shit foh,0
101,coley cee lil aerii girl you know wa spit that shit to you amp; you wa go lbvs bitch plz,0
102,coley cee let me make coupl tweet off cuzzo page so wo not get in twitter jail lmao bitch do not trick me again,0
103,comedypost harlem shake is just an excus to go full retard for 30 second,0
104,comedytruth amen miley 128591; http co p2000b2tfyxr okay but she do not need to act like hoe just bc she is emot damag foh,0
105,corybandz having one loyal femal is wayyyyy better than having hoe idc 128175;,0
106,crhedri pussi lick pussi meow meow stopwhitepeople2014 128049; http co keegdcjs5000 8221; 128533;,0
107,dbab holloway check out our 12th man cowboysn even with all those faggot ny fan in the stand,0
108,dgotbrick what happen to them vixen ent bitch they got ran and threw to the side like foothil bitch,0
109,daedavidavi white thunduh im the bitch okay nude pat 128554; 128527; 128056; wow,0
110,devilgrimz vigxrart you are fuck gay blacklist hoe hold out for tehgodclan anyway http co xuccwoetmn,1
111,diamondloudkush the fuck be wrong with these bitch nobodi know,0
112,dietrich1892 yall shut up make me bitch,0
113,dionairish hate am pregnant type of bitch,0
114,doyou got bitch in the dm but do not ever read em which is your top,0
115,domworldpeac basebal season for the win yanke this is where the love start,0
116,dommoneek littl stupid a bitch do not fuck with yoooooouuuu,0
117,dreadheadari she realli ask me that dead as serious tho all could say wa bitch wheet lol,0
118,dunderbail am an earli bird and am night owl so am wise and have worm,0
119,edgarpixar overdos on heavi drug doe not sound bad tonight do that pussi shit everi day,0
120,el grillo1 pit bull photograph a love fairi tale creatur http co q0sm89oolh 8221; they are fairi tale creatur,0
121,feroci ghost 1stname bravo aw fag do not tweet aw to me lol,0
122,flokid88 a long a the laker trash from now on could careless and that is real cc benbal hahaha,0
123,frosstyy h0rheyd did not say anyth tho kiss me then faggot,0
124,funnypicsdepot this the play soccer cheat on girl and wear khaki colour cargo haircut http co zuai7qwbir 128514; yup,0
125,g27status could go for fat as bitch on my lap same,0
126,gedmell 17 miss call 128544; 128545; da yo bitch twitter finna be screamn freemoneymell,0
127,gtm al ya side bitch gotta know it is rule to this shit anybodi ask you my cousin from jersey thinkin bout move lmmfao 128514; 128514; 128514; 128514;,0
128,gagatom1 8220; malefoot amo los pie http co 4qe1hdkk8i 8221; fuck yeah,0
129,girlthatsvont these hoe be think meat wo not slap they as 128564; 128075; ainna bruh,0
130,girlthatsvont yall bitch wit no edg be doing the most talk 128553; 128564; 9995; 128514; 128514; 128514;,0
131,girlthatsvont yall still go trick or treat this year or nah hell yeah ima be da sweet tooth bandit steal bitch bag shit,0
132,girllssu wanna have sex with my mom fuck her right in that pussi where came from damn you got hack like fuck,0
133,gizzi jones94 if she kiss with her eye open watch that bitch lmfao,0
134,goofstroop you woulda coulda shoulda as hoe 128563; 128586;,0
135,gotti ltf happi bday bitch as nigga jetsandaswish preciat that bitch roll up,0
136,hbmostdop 1jaye pipinho use to send that bitch up,0
137,hbmostdop ugli bitch be like am my own wcw duh bitch you ai not nobodi el 128514; 128514;,0
138,halotgmg 1stname bravo nigga you know we hacki sack hoe nah throw no look pas lmao,0
139,heartlessfuck glad am get outta atlanta noth but bunch of nigga in amp; outta jail amp; dumb bitch with mad kid fuckin em,0
140,hermosaalma this is not ghetto it is smart http co mpazq3jswf am doing this idc,0
141,hiimjorib would wife hoe only cuz we would not care that we cheat in each other why forc the relationship in the first place,0
142,hornyfact being singl is not an excus to be hoe theonemiss luu,0
143,hoskinsty96 white boy power bitch black power bitch,0
144,hudgen 11 let get drunk get blow spit shit spark blunt amp; fuck hoe bro white dude have no chill,0
145,iscoutgirl verbal abrupt bitch where been around the world and back where you been,0
146,itsyahboiray anelylov if do not get my dick suck at yo parti by bad bitch am fr gone set it off 128514; 128514; 128514; 128514; by anelylov,0
147,itsyesi oomf is soooo cute but he probabl ha hoe on him lot,0
148,jayten9 in everi cartoon theirs alway nuffsaid15 save these hoe lmao http co 9ukd8wtz6x lmao damn captain saveaho,0
149,jreebo who want to get there nose in these bad boi then scalli chav sockfetish stink http co feqxgn0w6i hot sox and leg,0
150,jamesynba wish wa bitch like my brother keezi 128530; ooooow bet you do,0
151,jasminepor if you dress up a cat for halloween you are basic or pussi,0
152,jewelxo can pornhub just get game stream featur so these dumb bitch can gtfo pornhub get on it kati lt;3,0
153,joebudden stop being scare to choke her during sex bitch as nigga she 8217;ll like it say the guy who hit woman out of bed foh,0
154,johnny55perez white thunduh ha well iguess make them hoe loyal bro theyll never be loyal that they hoe my nig,0
155,kazatta 1takehov oh man it am you off molli ho where the fuck ya seed at fix,0
156,kelsiebelsi you are not man if you refer to everi girl a bitch,0
157,keyshawnswag lmfao this cat start beat the shit out of me my nigga final got some pussi my nigga,0
158,keyshawnswag peel up peel up bring it back up rewind back where am from they move shaq from the line ooooow who tf said that trash,0
159,kingcuh 16stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,0
160,kinghendo95 vondreaam naw it is my old tape new cover my upcom mixtap is kingofthehil yeah am wait on that hoe mayn,0
161,kingteej ol dirti foot as bitch this wa too funni to me,0
162,king shawn white thunduh that is where get my yellow flag for being amaz 128079; 128524; hell yeah niggi,0
163,kissmysmile do not got time for bitch to be actin iffi,0
164,knightfann ucfpinkparti come on stay aliv knight nation this is still the earli bird special comeatmeut,0
165,kyranadiya these hoe ai not loyal no they ai not http co h1ubsvbkgl smfh amp; wonder why nobodi decent want them,0
166,lcistj bruh you stud keep think am soft a hell ask ya girl how mani time she scream she wa my bitch oh okay stfu bye hoe,0
167,lodycash dri pussi bitch alway blame it on the condom 128514; 128079; 128514; 128079; 128514;,0
168,lunarap shut yo bitch as up http co iemn1u0gm5 128557; 128514;,0
169,laflaregodjosh gucci mane in jail and drop mixtap everi month and you hoe ca not even text back,0
170,latrobemark you love these hoe more then money wat wrong these nigga,0
171,lebronvuitton loyal bitch from the burb without daddi issu is like find holograph mewtwo sound like me over there lol,0
172,lilfridayho easi cum easi hoe that is fact,0
173,lifeasbro charli sheen is too real http co gggdk3000ov7 major fuck respect for charli sheen,0
174,lightskingawdd wish had bae 128533; you got all the hoe tho,0
175,lil mike 12 fuck twerk bitch can you cook,0
176,linniekravitz wesgodlaflar bitch wtf http co dasmycxodb,0
177,lipe the great 8220; h0rheyd lipe the great shut up zoe fight me pussi 8221; for zoe am good man you are good ma am move along now,0
178,lolaaisdop lmao fuck snake bitch em,0
179,loveabl aizah big booti hoe everywher sheesh 128525; damn 127807; 128064; 127807;,0
180,mlbnetwork stay tune to mlbnetwork for an updat on the report that yanke 1b teixeiramark25 will be out 10 week dliming35 bum,0
181,rad 8220; dezdlt play soccer cheat on girl and wear khaki colour cargo haircut http co tycihd6pkw 8221; yes lmfao soccerboy 04,0
182,madflyentist oregon choke everi year get off the field trash as program rft,0
183,mannydiesel def not cowboy lol rt artoffloyd terrel owen wa the best eagl amp; cowboy ever dude cri like bitch on tv over romo,0
184,markroundtreejr lmfaoooo hate black peopl http co rnvd2nlcdr this is why there black peopl and nigger,1
185,master11 20tolif gabrielastarr how could do this to me bitch potent,0
186,maxmayo77 http co 3jk4000r44x3 piss lad past out would lick his dirti sole while he slept,0
187,maxmayo77 http co prrskknqrv love frat boy soft long sole,0
188,maxmayo77 http co xpsc3makgj sexi lad with hot sole and arch,0
189,megamindnick white thunduh nah fam gotta cheat with the hoe depend on the femal feel,0
190,mesha noja vontethekidd 128079; 128079; 128079; 128079; 128588; got hick lol,0
191,migsmichelen this new twitter is confus the shit out of me go back to south america bitch,0
192,miikito x3 toto mean as or vagina think pussi caus toto santi is like nasti pussi,0
193,mikelahenri but what if he actual doe choos the ugli bitch over you 58381; her as must be fat,0
194,mileycyrus bitch could not kill my vibe if ya tri 127752; 127752; 127752; dis why love miley,0
195,montrel am tire of bitch say look mean 128530; nigga you big af wear tight shirt and grim everybodi,0
196,motherjon 10 bird your grandkid may never see thank to climat chang http co xqmxhkaswt http co rbitegrnhm climat,0
197,mvckfadden stay beauti you bitch,0
198,nickiminaj wutkinda purpl ceeelee man this gurl wa jus playin on the stupid hoe track but in still shit on sum gurl,0
199,nastycopp money get taller and bitch get blurri,0
200,newsomejad ai not never seen bitch so ob with they nigga 128514; am ob with mine 128529;,0
201,nichola ted33 kobe stay talk trash but let not forget http co vh4tnekvtp austin12 meant to do this one smh,0
202,nochillpaz at least am not nigger http co rgja7cfoit lmfao,1
203,no fakingg peopl alway ask me what am mix with she bad asian bitch lol,0
204,notoriousbm95 whiteponyjr ariza is snake and coward but at least he is not crippl like your hero roach lmaoo,1
205,osay it aint so 8220; ignorealllaw foster home for imaginari trash 8221; whoa chill that show wa everyth tf,0
206,officialreplay am lowkey tire if you tire be quiet and go to sleep hoe,0
207,prayingforhead 8220; macklemro stop bring weird nigger into my mention prayingforhead 8221; http co cussdjesrk,0
208,prettyboss brat we do not love these hoe 128080; 128581;,0
209,patrickquelo if yo girl cant have homeboy you ol weak bitch as nigga,0
210,patsfanjoe32 palomino52 think worst advic gave you wa do not be pussi and speed up lol,0
211,poemsporn quot this tweet with your favorit anim pussi,0
212,poetic success hate when stripper tell you they are dancer hoe ballet dancer do not pop their pussi to beethoven you stripper,0
213,poffalici andrewbry poff ha doubl vision after beer poff doubl pussi 128526; smh,0
214,poobi when bitch twerk on the comput me in ya 128089; in ya damn 128089; 8252; 65039;,0
215,prodsjewel 8220; sreadthepeac 8220; yungmindless peacepunkprinc princ this is art http co ephrwxmbhr 8221; nobodi takin his bitch,0
216,quan1t0 61 percent of welfar govern aid is claim by white peopl so all black slander is trash now,0
217,quan1t0 these bitch do not care they just play that role,0
218,queen kaaat it took while for you to find me but wa hide in the lime tree iemonaid dis bitch in da wrong tree bro,0
219,rtnba drake new shoe that will be releas by nike jordan yes there glitter on the shoe http co qctplxhexm dude fag,1
220,rachiesoul dizzleoffici inna di ghetto you alon lmaoo,0
221,ramboutit 8220; master11 20tolif ramboutit hoe austin 8221; teach u austin teach how to get curv that is all know,0
222,reachtheeclimax bitch ca not cook but know how to suck dick to the one that can do both,0
223,renegademo fat hoe get chose lol,0
224,riahsm hoesaintloy well they are hoe no one expect them to be loyal,0
225,rishaawilliam treshon scroog nevertrustt ol bitch as http co amcoiny0wg,0
226,rnadjorel bruh im tire of nigga retweetin miley cyrus nake that bitch aint no type of bad lmaooo,0
227,sactownprodigi just because toni romo at the mav game dont mean he still not bitch lmao fuk them cowgirl lol bitch fuck you,0
228,samjlayman holi shit freddi highmor wa in charli and the chocol factori me roll on the floor laugh,0
229,samirahus do not want to have sex with my gf because feel like am use her anonym whata faggot,0
230,sexualgxf one of your follow with this 128525; 128553; http co f1tjl9xnct somebodi bitch if you do not,0
231,shaa jenkin if ya bitch alway bitch clear she care or just an annoy bitch,0
232,shantaughth these catfish hoe thinkin they slick but nigga catch on 128524;,0
233,shewenttojordan ca not worri about bitch that ai not worri bout me real,0
234,showarr side hoe are for insecur nigga that ca not handl real one,0
235,shun stoke 128514; 128514; 128514; 128514;rt bluprint lmao this bitch come scoot in the tent like she about to fuck some shit up 128557; 128557; 128557;,0
236,shun stoke my cousin said he share hoe with his brother he said share is care and he love his brother 128514;,0
237,slimgirl probz am hungri but ionn wanna spend my money on food 128530; broke hoe problem 128514; 128514; 128514; 128128;,0
238,smeegbabi dese hoe be lyin to all of u nigga,0
239,snakecharmsdump http co 4b427dqzcv oh yeah fuck that bitch,0
240,sportscent eli man just threw his nfl lead 27th intercept of the season lmao trash,0
241,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist and quit team 187; http co joosdsubir he is bitch,0
242,stellatex guess what also have zero time for your mansplain adio stfu pussi,0
243,stephenwildboy chill 128069; 8482; http co mik3ipnle6 sexi scalli lad,0
244,strap ai not share no bitch if you mine you mine 128175;,0
245,sukmysweet money only impress the simpl broke bitch,0
246,sylvieamx pisc will never be anybodi bitch they do not let peopl control or chang them rigghhht,0
247,tee jonez 16stanley kingcuh tuku ho idk blah blah blah 128514; 128514; 128514;,0
248,tee jonez kingcuh 16stanley am not mad cuh hahaha suur tuku ho ita 128514; 128514;,0
249,tayknosbest these hoe is crazi,0
250,taylorr babe you ai not ever gonna be slice bitch kevin hart,0
251,thatniggatroy oomf so fuckin fine tho 128553; dam her do not be no bitch,0
252,thegamerkingkev wonder if the girl that gave head to 24 boy for drink in magaluf ha twitter she probli send nude for fag,0
253,thenewsat newsatquest yeah bitch yeah bitch call me mayb steve later jess pinkman machinegunkelli,0
254,thenymphotweet hicki in between her thigh right by her pussi gt; gt; gt; it only right,0
255,theonemiss luu would you still love me when am no longer young and beauti no ugli monkey as,0
256,therealrickyb21 jetsandaswish gook all come through the front bitch ai not come,0
257,therealrickyb21 jetsandaswish faggot bitch http co 2hyyabk4eh,0
258,the realist sam madrid2 yea am on my ipad do not work this friday let ball this faggot up tropicalblanket work,0
259,theo17100 http co byj1hoyhmg this scalli lad would get it,0
260,theomaxximus gerryshalloweenparti http co 3ycrsrnjhc halloween wa yesterday stupid nigger,1
261,theomaxximus chrus still supahot tho walk up to teacher with test drop test in that bitch fohead http co nb5vgdssgi,0
262,thornton25 8220; kantkeepahbytch love eat pussi lol never get full lol 8221; can eat that shit forev lol and ever,0
263,tmacc gfg 8220; voiceofdstreetz tmacc gfg 8220; tizzimari no slush 128549; 8221;hoe nasti anyway fam 128564; 8221;them hoe tast like med 127815; 127815; 127868;,0
264,tmacc gfg 8220; tizzimari no slush 128549; 8221;hoe nasti anyway fam 128564;,0
265,tmacc gfg bobbi bitch by bobbyshmurdags9 be get me live a fuck hell yea play that hoe before my workout,0
266,trelekidd yo bitch is gucci mane rt jabarithegreat my bitch stoner 128175; 128175; http co lt9lijjpg9 128514; 128514; 128514; 128514; 128514; 128514;,0
267,tweetgamelazi can ride your bitch with no handl bar,0
268,tyjoncuffe and if you ai not hoe get up out my traphoussseeee,0
269,uberfact 15 sad tv charact death we are still bitter over http co ulclfuf8nc http co 1rxyqoosm0 ned stark wa the man,0
270,unholi jack these harbor bitch are all parti bus hoe lol all,0
271,vbomb20 woodchuck20 pussi love it,0
272,veronikahumbert ultraviol video it come you littl bitch mtvhottest lana del rey http co 533flbvwqh bitchi promo,0
273,vineforthebyrd on my way to fuck your bitch http co 4lmtfnl2iy lmfao kittycopt,0
274,wbur smuggler explain how he help fighter along the jihadi highway http co ux4anxeawd,0
275,wbeezi quathegreat aww their avi look so cute togeth 128145; http co 9lporcb8w0 128128; 128128; 128128; do gotta get ike avi on this bitch,0
276,wbeezi run drc it simpl dont be hoe dont worri about being expo 128540; fight me why,0
277,wannabekany why this bitch boost herself http co uod2f5wtkv her size is not exact the most healthi tho,0
278,withaprettyfac 1nonlykeisha bet not be no bitch 128514; 128080; 128299; 128299; 128298; 128514; 128514; kim bye,0
279,xpdotjdot damn near gotta protect my tweet stalker being annoy you got that dope dick drive these bitch loco,0
280,xojennygirl am make marack my girlfriend marackaf aye you pullin hoe just like taught you,0
281,xoxo angie bruno fag boy you love me,0
282,yehit von 8220; run drc must be bitch 8221; you are 128514; 128514; 128514; sike naw this why we alway beef 128514;,0
283,yanke down yanke look to ralli in the bottom of the 9th rallycap,0
284,youngricooo 8220; wexicanafro702 do not take advantag of nice person 8221; hoe everyjuan,0
285,youngricooo happi birthday bitch nigga wexicanafro702 thank pal,0
286,youngricooo sad know that most hoe wo not fuck with you bc you ai not got stack wait till friday,0
287,yungmigo shane a1 cinco shit harder fucc nigga yee but you fucc wit rich homi cuz dat ya homeboy fucc nicca,0
288,zoebarton3 h0rheyd ewww said that last sunday a in the last sunday wa there read it again nig 128563; 128563; 128563; 128563; 128563;,0
289,bada bing only punch real nigga in the face caus pussi nigga is gonna punch me right back strong mush or shake,0
290,beedontcar my pussi still fresh lt; someth stank girl say,0
291,geewillik as slap is one the greatest thing haha 128527; slap girl on the as she got mad aint get pussi for week,0
292,tommycollin wearerichnow buffalobil yeah texan are so much better you fuck retard see that you are mad about this,0
293,malibubarbi nd wtf is up with dark bitch with blond plea have sever seat hoe look like black amp;mild out here,0
294,sugga there lane some bitch need to stay in 128526; the left get right the fuck outta our face 128557; 128129; 128536;,0
295,sneakyb hate when boy deni that they have bitch 128080; 128553; smh,0
296,taradis ya nig out there still say all do not eat butt with straight face,0
297,yourewelcom im bos as bitch that need to sit in corner,0
298,iwantfranni he is hoe ca not,0
299,prettyflvck0 me and paul thinkin bout gettin rental for da weekend 128665; 128168; 128168; oooh shit bitch betta stay out da street,0
300,rapdream bitch hold they nigga down when he get lock up but if nigga go to colleg or the militari it is differ stori 128564;,0
301,simplycaitlin why do my friend hate me because you ratchet hoe,0
302,adriwadrri no love for these fuck nigga hoe,0
303,airmaxlad1 hot meat http co brz8imk5vk sexi a fuck scalli lad would love to meet him and his trainer,0
304,airmaxlad1 sniff http co fhhbbrmybn perv up scalli lad fuck yeah,0
305,alejandra p13 these bitch love sosa,0
306,alexissixela 8220; white thunduh legit watch it for about 30 or 40 second 128529; 8221;so did wtf prob caus were retard smh,0
307,allisonnamaya what should name my cat idea mr pussi,0
308,altosteel115 http co tm28mh5xg2 woof woof sexi thug boy scalli,0
309,ambitiousbre 1nonlykeisha see the damn phone ring 128547; 128530; 128542; when you marri bitch make demand you have not call me,0
310,analicialouis tevin is my favorit sophomor think he is so funni he realli not lmaoo he littl hoe,0
311,angelenagoley 10 sex posit http co nt3pabmwsm http co jmhz8sczf0 naw this what call fuck the soul outta bitch 128557;,0
312,ashlingwild itsnotadam is bore suppos to be cute you faggot sometim,1
313,ayye ceee one man trash 128686; is anoth man treasur 127942;,0
314,babineaux do not got no type bad bitch is the only thing like iongotnotyp,0
315,bigbootybishopp white thunduh lassen cc the coach want me feel it youll get more my nig no doubt,1
316,bleedingtrap god teeth gold chain white bitch cocain,0
317,cheetahbluntz it me hoe it me hoe 128129; shhhhh,0
318,chieflottaho in we call them roller in chiraq we call them thot all across america they have been known a hoe,0
319,clayton jenn99 am gonna miss that bitch of bus driver no you wo not do not lie,0
320,coltforty2gon hate when bitch tri and put you in the friendzon bitch am tryin to score put me in the endzon 128293; 128293; 128293; on my soul,0
321,complex uk ashley young ha tri to deni that bird land in his mouth gt; http co mlr5ewgonk http co avchfj7rem hahaha,0
322,datfullerkid trevaughnlg yall both gimp up ai not tht bitch huh lol,0
323,deepthroatmik boy south take me for ride 128525; 128139; http co h5matjyfga redneck woof woof,0
324,demi eggleton oh my god love victoria mitchel all my bitch love me,0
325,djsliim that long distanc shit wack knew the bitch wa cheat uh oh,0
326,fiirt he is doing it right 128525; 128120; 128158; http co jzkkivuvjc no bitch smh,0
327,fatboyswagg347 they ban dat pussi for life amp; he gotta pay millon dollar fine,0
328,fuckcamoclark rose are red and violet are blue and nigger are black you know that is true dylan72892,0
329,g0rillaz0 sit on my window sill window open bird tri to fli in smack it protecttheanim peta,0
330,glowstruck but nigga gon be nigga be nigga you sound fuckin retard,0
331,greggutfeld video an entir medium will like mock http co xfr1crxwsm am such crybabi,0
332,gurl im angi itskiaraaaa westyourmajesti am not even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker in soup,0
333,haitian gold tim tebow got cut from everi team he wa on in the nfl and he alreadi got more hoe than me in starkvill smh 128514; 128514; 128514; 128514;,0
334,hazelebabi karma is bitch damn godprotectshisangel 128588; sip tea,0
335,hornyjhb fuckin hot gym pussi http co zvymcxquta fuck yeah,0
336,hxhassan jihadi patron hajjaj al ajmi is arrest at kuwait airport http co zmlokfwdql,0
337,iampickuplin you can call me fireman caus turn the hoe on,0
338,icrawley could never have bbi by lil dick thts got abort by the last bitch oh my god,0
339,idntwearcondom watch woman tri to argu with me like they have dick and actual fuck some pussi before hate when bitch do that,0
340,ilgdaili and smoke weed in public fuck cop man do what you wanna do they do not own you run if they come are you retard,0
341,itrapwatermelon tweeti bird tho 128514; 128514; 128514; 128514;https co jbnonm3n1p,0
342,irlfatti my pussi sweet like watermelon http co sklph3ttog thotermelon,0
343,itscoleharmon when twitter rapper dm me their trash link http co 35nmr4auqg,0
344,jsadass loud bitch annoy me,0
345,jacaxeltlu eventu everi bitch turn into that hoe truuu,0
346,jaimescudi tonybthrz jaimescudi swear if oomf tri talk to me tomorrow barackobama pussi,0
347,jama jam you bitch be pretend to be tf crazi you ai not never lie,0
348,jasmyncynique white thunduh bye hoe um bye,0
349,jayswaggkillah jacki retard blondeproblem at least can make grill chees,1
350,jboii2 ima keep on give these pussi as nigga ah reason to hate,0
351,jethromass photo http co cxrs5bvhpw he is in sole heaven,0
352,jgabsss stacey dash won 128166; http co pdlg46rjol baddest bitch evaaaa,1
353,juicyyyjayyyi side bitch sunday 128514; 128514; 128514; 128514; 128514; 128514;,0
354,eazy26 fact what baldhead bitch made this shit 128074; 128074; 128555; 128530; http co fdyojpt9xg lmao 128553; 128514;,0
355,kayreneee fuck wit u and then we tweakin hoe shmurda,0
356,kazooook we actin like it is the 7th day wesgodlaflar http co s9gmtevpat 128123;spook,0
357,kikistfu will break that lil bitch neck and wo not even feel sorri about it savag,0
358,leikant this is so fuck hot scalli sneakersex sockfetish sniff trainersex http co tubivxbxco love me some kinki scalli,0
359,likemicah all dumb as nigga be so press to have hoe all weak a fuck a fuck weed over hoe oreo too,0
360,lildurk can turn yo bitch into eaterrrrrrrrr,0
